cadena,gamma_Nm,tau_anios,k_top,chi_ms,prob
A,1.0234e+19,6.5158,0.042678,0.2301,0.51592
A,6.7487e+18,33.844,0.44137,0.29161,0.34543
A,3.6453e+18,47.113,0.079611,0.28453,0.36351
A,2.9852e+19,2.1969,0.19372,0.26219,0.42345
A,1.2881e+19,7.2144,0.12443,0.20363,0.59553
A,1.2665e+19,9.3058,0.23167,0.30837,0.30464
A,7.9192e+18,10.378,0.26579,0.29912,0.32679
A,1.1116e+19,12.063,0.3812,0.30785,0.30585
A,1.1506e+19,4.9013,0.059423,0.19293,0.62795
A,1.1787e+19,5.3546,0.11741,0.23996,0.48686
A,1.8895e+19,4.6435,0.21021,0.19023,0.63614
A,1.4254e+19,5.926,0.32569,0.25565,0.44176
A,2.2598e+19,5.0368,0.47748,0.31023,0.30028
A,1.9395e+19,2.9199,0.035049,0.10184,0.87842
A,1.402e+19,46.882,0.69739,0.28326,0.36681
A,2.9944e+19,2.6343,0.059096,0.26406,0.4183
A,1.2753e+19,8.4045,0.16002,0.30252,0.31856
A,2.0649e+19,3.9448,0.046446,0.21711,0.55476
A,1.3432e+19,5.1562,0.2202,0.17441,0.68369
A,1.4799e+19,8.9266,0.48399,0.30782,0.30593
A,1.773e+19,5.1896,0.69513,0.25995,0.42969
A,1.5503e+19,5.2034,0.088367,0.29688,0.33231
A,9.4961e+18,25.828,0.36599,0.25375,0.44715
A,1.3225e+19,20.625,0.74571,0.19084,0.63428
A,2.0085e+19,3.4138,0.30546,0.2202,0.54548
A,1.3505e+19,6.9548,0.10453,0.21483,0.56163
A,1.8711e+19,5.1862,0.20093,0.24771,0.46442
A,1.5897e+19,5.145,0.63191,0.23002,0.51615
A,1.0369e+19,4.7847,0.16401,0.29219,0.34398
A,1.6422e+19,4.6821,0.193,0.14193,0.77741
A,1.2271e+19,6.8864,0.0687,0.24387,0.4755
A,2.8033e+19,3.2485,0.19588,0.22976,0.51693
A,9.4171e+18,19.961,0.60535,0.28728,0.35642
A,9.3947e+18,11.983,0.1081,0.22,0.54606
A,1.8069e+19,5.3107,0.19665,0.29072,0.34767
A,1.1079e+19,6.3695,0.11417,0.2662,0.41238
A,1.332e+19,4.5267,0.06311,0.22487,0.53149
A,1.5175e+19,13.128,0.81326,0.19955,0.60789
A,1.7991e+19,4.5027,0.5416,0.19071,0.63468
A,4.3375e+19,1.6026,0.12445,0.23796,0.49273
A,3.5479e+19,2.8803,0.063608,0.26888,0.40507
A,2.3269e+19,3.1183,0.092113,0.29355,0.34057
A,1.3878e+19,6.3494,0.5377,0.27745,0.38204
A,4.3796e+18,25.709,0.10683,0.24701,0.46642
A,7.5219e+18,16.182,0.2118,0.18842,0.64161
A,1.8968e+19,9.4126,0.6209,0.20519,0.59078
A,1.8686e+19,4.8998,0.2766,0.30782,0.30592
A,1.1333e+19,10.776,0.68092,0.24049,0.48532
A,1.4022e+19,7.8436,0.47155,0.29001,0.34947
A,1.3892e+19,11.203,0.70501,0.27672,0.38398
A,1.3975e+19,11.742,0.26596,0.15355,0.74473
A,1.7944e+19,6.9103,0.66366,0.18881,0.64044
A,1.2802e+19,8.9659,0.2949,0.19003,0.63673
A,1.4758e+19,3.9584,0.094907,0.27475,0.38922
A,9.4944e+18,14.276,0.30921,0.26934,0.4038
A,1.0661e+19,10.146,0.34715,0.22671,0.52601
A,4.2512e+19,1.6332,0.062744,0.27829,0.37981
A,7.1149e+18,44.426,0.2757,0.19402,0.62467
A,1.592e+19,4.9228,0.14512,0.27211,0.39632
A,1.2351e+19,11.556,0.22887,0.2753,0.38777
A,1.0712e+19,8.4052,0.27261,0.22791,0.52243
A,1.5406e+19,7.7706,0.26019,0.13707,0.79069
A,1.577e+19,7.0568,0.504,0.24877,0.46137
A,8.0654e+18,10.7,0.090284,0.30053,0.32337
A,1.7458e+19,4.5798,0.065376,0.12539,0.82157
A,3.996e+19,1.674,0.011853,0.21954,0.54745
A,3.5426e+19,2.3723,0.22166,0.29417,0.33903
A,1.4224e+19,7.1226,0.36309,0.29917,0.32668
A,1.4724e+19,4.9072,0.19585,0.23808,0.49236
A,1.0716e+19,10.263,0.24859,0.24918,0.46018
A,6.6761e+18,15.993,0.24409,0.29914,0.32675
A,1.7952e+19,3.2208,0.071899,0.30612,0.30994
A,1.56e+19,21.559,1.1816,0.30458,0.31361
A,1.1097e+19,11.939,0.25618,0.25045,0.45654
A,1.3611e+19,10.652,0.63963,0.29349,0.34073
A,8.8816e+18,8.2387,0.036599,0.19941,0.60833
A,1.7943e+19,2.9549,0.095933,0.30954,0.30189
A,1.83e+19,3.3452,0.21969,0.15644,0.73645
A,1.6351e+19,4.2187,0.27674,0.27677,0.38385
A,1.9377e+19,3.6368,0.12054,0.2258,0.5287
A,9.6544e+18,7.8039,0.1379,0.25305,0.44913
A,1.3104e+19,6.293,0.15223,0.24296,0.47814
A,1.3131e+19,11.781,0.68024,0.25235,0.45113
A,5.4539e+18,19.41,0.072322,0.19398,0.62479
A,2.0098e+19,4.9376,0.52826,0.18859,0.64109
A,1.4985e+19,6.0565,0.43826,0.27077,0.39994
A,9.9123e+18,17.632,0.14953,0.30674,0.30847
A,2.0317e+19,5.566,0.41777,0.079894,0.92331
A,1.4638e+19,5.077,0.083489,0.27465,0.38949
A,1.3325e+19,15.219,0.52299,0.26056,0.428
A,1.0762e+19,12.47,0.40573,0.16903,0.69969
A,2.0876e+19,3.3838,0.15824,0.21743,0.55381
A,1.927e+19,8.2366,1.0163,0.18649,0.64744
A,1.7886e+19,9.2701,0.80536,0.30976,0.30138
A,1.2542e+19,11.632,0.60674,0.25492,0.44383
A,8.7296e+18,12.451,0.3789,0.24403,0.47504
A,1.1151e+19,7.6476,0.21987,0.30214,0.31946
A,2.1762e+19,2.2893,0.035691,0.30358,0.316
A,1.0601e+19,7.4249,0.06638,0.21222,0.56951
A,9.5856e+18,11.063,0.18688,0.17326,0.68713
A,6.0631e+18,18.029,0.2569,0.18265,0.659
A,1.7339e+19,5.2834,0.12774,0.23999,0.48677
A,7.2372e+18,15.54,0.23774,0.30306,0.31724
A,1.8782e+19,4.6392,0.10415,0.19706,0.61545
A,8.6696e+18,14.866,0.12789,0.27086,0.3997
A,1.1926e+19,6.4021,0.079617,0.18357,0.65624
A,1.2496e+19,15.606,0.80861,0.25317,0.44879
A,1.8727e+19,3.6063,0.078387,0.29667,0.33282
A,1.2866e+19,4.3613,0.19253,0.14823,0.75984
A,2.074e+19,3.4053,0.010023,0.16127,0.72246
A,7.8779e+18,14.142,0.14457,0.29048,0.34829
A,6.8176e+18,14.173,0.13674,0.23889,0.48999
A,2.573e+19,2.5734,0.23183,0.29598,0.33453
A,1.5508e+19,11.101,0.70207,0.30601,0.31021
A,2.0319e+19,4.6555,0.21347,0.26254,0.4225
A,1.6312e+19,5.5658,0.16366,0.1912,0.6332
A,2.4435e+19,3.3953,0.025409,0.28907,0.35185
A,1.3209e+19,8.6928,0.12795,0.25529,0.44279
A,1.0219e+19,6.7533,0.25742,0.30784,0.30589
A,1.5741e+19,5.5437,0.108,0.15208,0.74894
A,6.8072e+19,0.87315,0.0046036,0.19964,0.60762
A,3.5547e+19,1.592,0.018497,0.15254,0.74763
A,2.9179e+19,2.6199,0.10144,0.27886,0.3783
A,1.2471e+19,11.879,0.25469,0.29455,0.33808
A,2.5432e+19,2.1541,0.021127,0.30791,0.30572
A,1.5552e+19,4.9932,0.0070011,0.25926,0.43164
A,1.4059e+19,6.3865,0.1311,0.2891,0.35178
A,1.2462e+19,17.631,0.57273,0.2281,0.52185
A,2.32e+19,3.2795,0.18249,0.24829,0.46274
A,9.2622e+18,5.6877,0.11102,0.28178,0.37065
A,1.2971e+19,7.5283,0.41102,0.22107,0.54286
A,5.4015e+18,55.847,0.19243,0.28037,0.37433
A,2.0474e+19,5.0003,0.48188,0.23102,0.51318
A,1.2356e+19,6.6638,0.014397,0.24501,0.4722
A,1.1164e+19,12.611,0.30583,0.28159,0.37116
A,1.2418e+19,14.936,0.7691,0.29601,0.33444
A,1.3511e+19,7.9486,0.22281,0.15409,0.74321
A,2.2096e+19,3.7237,0.12497,0.15492,0.74081
A,2.0869e+19,3.8714,0.29782,0.18781,0.64345
A,1.4513e+19,6.4956,0.48361,0.16429,0.71362
A,1.4813e+19,10.854,0.44987,0.25993,0.42976
A,7.3848e+18,43.169,0.59794,0.27355,0.39244
A,7.6247e+18,10.283,0.097298,0.24196,0.48105
A,1.7011e+19,3.694,0.17417,0.20361,0.59558
A,1.6352e+19,7.3271,0.3121,0.2586,0.43348
A,1.0378e+19,8.0746,0.14495,0.25943,0.43114
A,1.8381e+19,3.0324,0.020294,0.24962,0.45893
A,1.1774e+19,7.1708,0.138,0.16204,0.7202
A,1.4584e+19,8.3041,0.23029,0.24516,0.47176
A,1.603e+19,9.2184,1.0125,0.29108,0.34677
A,9.7668e+18,9.7662,0.15993,0.17888,0.67033
A,1.4788e+19,8.48,0.34283,0.12448,0.82392
A,1.663e+19,5.8923,0.20124,0.30592,0.31041
A,1.4656e+19,15.703,0.88771,0.24069,0.48475
A,2.1648e+19,3.5413,0.10843,0.20056,0.60483
A,1.5557e+19,7.3234,0.47071,0.25762,0.43623
A,1.4912e+19,7.4548,0.35687,0.28527,0.3616
A,1.7494e+19,9.7516,0.82756,0.27571,0.38667
A,1.6226e+19,6.2032,0.21065,0.22816,0.52166
A,1.4938e+19,5.0005,0.12207,0.26521,0.41512
A,1.1509e+19,13.783,0.71902,0.11336,0.85161
A,1.6403e+19,4.4303,0.17238,0.21692,0.55532
A,2.065e+19,4.8011,0.38309,0.2689,0.40502
A,2.3809e+19,5.3013,0.79563,0.28193,0.37024
A,9.1151e+18,8.6883,0.066401,0.28086,0.37306
A,1.8346e+19,4.5222,0.055957,0.11618,0.84474
A,6.2918e+18,11.111,0.0035792,0.26785,0.40786
A,2.8339e+19,2.9961,0.51388,0.23053,0.51464
A,1.4078e+19,10.759,0.47241,0.17568,0.67992
A,1.379e+19,7.9833,0.22473,0.21722,0.55444
A,4.5317e+18,13.572,0.15267,0.27366,0.39215
A,2.871e+19,3.1937,0.14175,0.12329,0.82696
A,1.1808e+19,14.36,0.89038,0.24081,0.4844
A,1.6543e+19,4.2498,0.18583,0.23364,0.50544
A,8.9022e+18,9.9455,0.1528,0.19522,0.62102
A,1.8924e+19,3.9371,0.17513,0.18532,0.65096
A,8.0257e+18,8.2376,0.15122,0.28145,0.37151
A,1.3926e+19,7.1323,0.16762,0.23386,0.50479
A,2.1942e+19,4.5929,0.51324,0.26597,0.41301
A,1.0074e+19,9.0981,0.15018,0.16111,0.72292
A,1.5974e+19,4.9181,0.067259,0.18017,0.66647
A,1.6711e+19,12.853,1.1275,0.29053,0.34817
A,1.7783e+19,16.95,0.80893,0.2328,0.5079
A,7.5751e+18,26.059,0.32508,0.24827,0.46281
A,1.7332e+19,11.078,0.50004,0.19592,0.61891
A,1.0906e+19,9.1411,0.13372,0.20023,0.60584
A,1.1026e+19,7.0031,0.1311,0.20561,0.58952
A,2.3133e+19,3.4015,0.15158,0.30708,0.30767
A,1.2893e+19,8.6383,0.26345,0.15069,0.7529
A,1.6754e+19,4.1554,0.035587,0.20648,0.58689
A,1.3609e+19,5.4306,0.11574,0.25328,0.44847
A,2.2181e+19,4.0037,0.067565,0.21877,0.54977
A,9.9036e+18,9.8753,0.25719,0.29808,0.32935
A,1.6822e+19,4.9658,0.14734,0.21159,0.57143
A,9.1788e+18,10.933,0.093937,0.21743,0.5538
A,1.2125e+19,6.5598,0.20685,0.29922,0.32656
A,1.1934e+19,5.3584,0.0064898,0.16122,0.72259
A,1.3227e+19,12.545,0.70516,0.28718,0.35668
A,1.785e+19,5.0134,0.3894,0.30508,0.31242
A,6.5375e+18,12.807,0.15176,0.19555,0.62002
A,5.5388e+18,14.674,0.014303,0.23073,0.51403
A,1.0816e+19,11.106,0.14647,0.16049,0.72471
A,1.1007e+19,12.253,0.38896,0.21613,0.5577
A,1.2231e+19,5.2087,0.17521,0.15318,0.7458
A,1.8321e+19,6.3984,0.25446,0.28195,0.37022
A,2.3051e+19,3.3812,0.14358,0.19572,0.61951
A,1.6957e+19,4.9091,0.13108,0.20444,0.59306
A,1.3707e+19,15.689,0.73912,0.19097,0.63391
A,5.4737e+18,12.057,0.11312,0.16322,0.71675
A,2.3374e+19,11.671,1.6514,0.26916,0.40432
A,2.3593e+19,9.0792,0.69812,0.1852,0.65132
A,1.4855e+19,8.6816,0.34806,0.20649,0.58687
A,1.2594e+19,7.3749,0.23477,0.22693,0.52533
A,1.8118e+19,4.8265,0.17459,0.19868,0.61052
A,2.0695e+19,5.5434,0.51906,0.19247,0.62934
A,2.3282e+19,3.0333,0.0049391,0.15519,0.74003
A,6.587e+18,25.113,0.20669,0.18242,0.65971
A,6.6372e+18,9.1302,0.091161,0.18578,0.64959
A,4.4284e+19,1.8397,0.21739,0.17122,0.69319
A,1.6883e+19,9.2586,0.95079,0.24376,0.4758
A,5.47e+18,43.7,0.30027,0.26707,0.41
A,6.3062e+18,14.123,0.10097,0.15036,0.75381
A,1.5019e+19,9.0641,0.57665,0.28319,0.36698
A,1.7217e+19,5.3782,0.19937,0.2324,0.50911
A,8.5059e+18,18.031,0.17338,0.24406,0.47495
A,1.5107e+19,7.668,0.34527,0.23766,0.49361
A,1.656e+19,8.0536,0.26259,0.30048,0.32347
A,2.1982e+19,6.655,0.60789,0.28486,0.36265
A,1.6064e+19,6.9192,0.64159,0.29404,0.33935
A,1.9264e+19,6.2371,0.63332,0.23145,0.5119
A,8.0161e+18,32.505,0.17939,0.26069,0.42763
A,1.7525e+19,10.239,0.8902,0.26886,0.40512
A,7.0085e+18,6.7454,0.10725,0.30666,0.30866
A,1.266e+19,9.8643,0.24945,0.30409,0.31479
A,9.0089e+18,15.887,0.23433,0.27228,0.39584
A,1.7467e+19,4.0275,0.27847,0.21011,0.57591
A,1.6469e+19,4.1643,0.15462,0.23888,0.49002
A,1.0699e+19,12.899,0.17093,0.18896,0.63997
A,4.8626e+18,17.795,0.18664,0.29723,0.33143
A,1.0108e+19,10.947,0.34954,0.24871,0.46153
A,9.0245e+18,13.49,0.12203,0.25857,0.43357
A,6.8113e+18,36.42,0.17945,0.28969,0.35029
A,8.4089e+18,11.175,0.18414,0.12368,0.82597
A,1.8263e+19,6.0998,0.17832,0.23842,0.49138
A,1.5412e+19,3.2752,0.0081443,0.11363,0.85094
A,9.8548e+18,11.597,0.24285,0.25917,0.43188
A,6.7024e+18,14.215,0.11034,0.13171,0.80505
A,1.4217e+19,6.2527,0.065274,0.14509,0.76864
A,2.3538e+19,3.5771,0.018107,0.21234,0.56916
A,1.351e+19,6.7909,0.18505,0.17191,0.69114
A,7.4011e+18,21.115,0.35921,0.30367,0.3158
A,1.4166e+19,9.955,0.66381,0.24303,0.47792
A,2.3683e+19,4.1306,0.19626,0.14407,0.77148
A,1.0475e+19,13.217,0.3205,0.19996,0.60666
A,1.3461e+19,8.5403,0.29018,0.16216,0.71985
A,1.9205e+19,14.373,1.1308,0.3026,0.31836
A,1.0608e+19,7.6422,0.18994,0.23068,0.51418
A,1.4892e+19,7.9664,0.60475,0.15519,0.74004
A,1.2438e+19,4.3196,0.10044,0.20276,0.59816
A,2.1857e+19,4.2813,0.30748,0.078257,0.9263
A,7.9846e+18,12.41,0.10396,0.16055,0.72454
A,1.3011e+19,8.3988,0.27183,0.21039,0.57504
A,1.3045e+19,8.7764,0.51133,0.30161,0.32074
A,2.4791e+19,3.5588,0.24547,0.22522,0.53044
A,1.5258e+19,9.0759,0.66353,0.28399,0.36491
A,1.5215e+19,16.063,0.70691,0.26395,0.41858
A,1.482e+19,5.9257,0.34228,0.19583,0.61919
A,1.3749e+19,7.9157,0.3314,0.14704,0.76319
A,1.783e+19,7.7739,0.37574,0.21913,0.5487
A,1.3997e+19,5.8473,0.42558,0.17821,0.67236
A,3.0012e+19,2.5263,0.099167,0.24024,0.48606
A,1.6699e+19,7.1126,0.49124,0.20968,0.57721
A,9.4951e+18,13.307,0.32167,0.16703,0.70558
A,1.2568e+19,7.3035,0.24597,0.22318,0.53653
A,1.3981e+19,9.5496,0.32514,0.22717,0.52461
A,1.0653e+19,17.69,0.3796,0.19957,0.60785
A,6.7805e+18,10.837,0.10574,0.26264,0.4222
A,1.2874e+19,6.6376,0.14534,0.24365,0.47614
A,2.3931e+19,10.867,1.0073,0.20855,0.58063
A,1.3712e+19,8.2515,0.28033,0.098623,0.88552
A,1.8762e+19,7.0172,0.55451,0.20506,0.59118
A,7.5777e+18,21.7,0.18695,0.27827,0.37986
A,1.4994e+19,6.2312,0.30428,0.29812,0.32926
A,2.1321e+19,4.7231,0.20036,0.29831,0.32878
A,1.4221e+19,5.4098,0.14679,0.23189,0.5106
A,1.3019e+19,8.0946,0.19897,0.19996,0.60664
A,1.4032e+19,4.6774,0.020872,0.29472,0.33764
A,2.667e+19,1.8581,0.0028518,0.22058,0.54433
A,2.2385e+19,4.4166,0.43358,0.1857,0.64983
A,9.2042e+18,15.302,0.18801,0.24249,0.47949
A,2.1664e+19,3.8672,0.069256,0.22948,0.51775
A,6.196e+18,13.139,0.10874,0.24714,0.46604
A,3.2463e+19,5.0854,1.0574,0.27803,0.38051
A,1.8582e+19,6.035,0.34614,0.24789,0.4639
A,1.2066e+19,16.473,0.56599,0.23366,0.50538
A,4.3949e+18,19.087,0.030281,0.1196,0.83628
A,1.1454e+19,8.6946,0.64417,0.29221,0.34392
A,1.3059e+19,15.278,0.60831,0.20178,0.60112
A,1.18e+19,6.7611,0.2492,0.20372,0.59526
A,1.3409e+19,5.9726,0.036881,0.12721,0.81685
A,1.4134e+19,10.801,0.51703,0.25142,0.45378
A,4.8203e+18,26.924,0.055348,0.2902,0.34899
A,2.084e+19,3.9917,0.062685,0.23913,0.48929
A,1.5983e+19,7.2946,0.21503,0.20207,0.60024
A,1.1373e+19,32.324,0.41562,0.28169,0.37088
A,1.5817e+19,6.5534,0.15315,0.17307,0.68769
A,8.1142e+18,13.859,0.29667,0.16771,0.70358
A,5.4728e+18,8.2181,0.024253,0.26032,0.42866
A,4.1284e+18,30.79,0.08056,0.27545,0.38736
A,1.0386e+19,16.103,0.84739,0.30087,0.32253
A,1.4595e+19,5.0277,0.017436,0.18029,0.66611
A,1.1081e+19,10.505,0.15186,0.20199,0.60048
A,1.2904e+19,7.2789,0.27342,0.24359,0.47629
A,1.4066e+19,9.7898,0.50094,0.29126,0.34632
A,8.9224e+18,9.2344,0.12975,0.30455,0.31368
A,1.0826e+19,6.0721,0.14037,0.29333,0.34111
A,2.3227e+19,1.8316,0.080666,0.30714,0.30754
A,7.4425e+18,25.59,0.23941,0.26238,0.42293
A,1.3013e+19,27.686,0.87667,0.2677,0.40829
A,1.4463e+19,16.594,1.1216,0.24519,0.47166
A,3.2289e+19,2.1096,0.33613,0.29823,0.32899
A,1.5991e+19,6.1339,0.31797,0.25242,0.45092
A,2.331e+19,3.485,0.051243,0.28284,0.36788
A,1.8008e+19,4.5043,0.084678,0.25108,0.45474
A,7.7051e+18,11.578,0.42122,0.15038,0.75375
A,2.2589e+19,2.8118,0.11223,0.26569,0.41378
A,1.4274e+19,6.7043,0.015114,0.22562,0.52926
A,6.9923e+19,0.88236,0.061552,0.30133,0.32143
A,8.1629e+19,1.2402,0.19758,0.28983,0.34994
A,6.1802e+19,0.91309,0.11688,0.24302,0.47797
A,3.0596e+19,1.9776,0.00036656,0.098035,0.8868
A,2.0653e+19,3.5319,0.11857,0.091614,0.9004
A,1.9378e+19,4.071,0.24337,0.25,0.45784
A,2.5221e+19,2.6623,0.10356,0.17193,0.69108
A,9.5702e+18,6.4771,0.12121,0.26246,0.4227
A,1.2707e+19,7.6162,0.13462,0.2389,0.48995
A,1.0145e+19,11.638,0.5619,0.27258,0.39506
A,1.7099e+19,3.1962,0.055849,0.28475,0.36294
A,2.5079e+19,3.7787,0.30375,0.29783,0.32996
A,1.1729e+19,5.5855,0.044193,0.25335,0.44827
A,1.0889e+19,6.9677,0.35102,0.19809,0.61233
A,1.7588e+19,19.976,1.4419,0.25155,0.4534
A,2.8215e+19,3.3325,0.21234,0.12208,0.83004
A,1.0069e+19,6.3232,0.017346,0.30839,0.30459
A,9.8184e+18,10.704,0.098687,0.22855,0.52051
A,1.3021e+19,5.3257,0.37561,0.23275,0.50807
A,1.3738e+19,9.4244,0.35542,0.17337,0.6868
A,1.5015e+19,16.879,0.65329,0.15643,0.73647
A,1.6674e+19,6.6663,0.12456,0.26582,0.41343
A,1.6634e+19,3.7912,0.017997,0.22074,0.54384
A,9.0119e+18,8.6944,0.096876,0.2823,0.3693
A,9.6619e+18,18.32,0.38096,0.24953,0.45918
A,7.7878e+18,20.702,0.34202,0.26396,0.41857
A,1.068e+19,8.1152,0.076264,0.24264,0.47906
A,1.2137e+19,13.449,0.25684,0.27534,0.38765
A,8.6356e+18,14.966,0.44575,0.23794,0.49278
A,7.9216e+18,11.894,0.076235,0.29293,0.34212
A,2.2104e+19,2.9523,0.16717,0.24751,0.46497
A,1.4176e+19,4.2135,0.10979,0.28589,0.35999
A,6.2547e+18,33.972,0.26531,0.24483,0.4727
A,1.4569e+19,6.5394,0.093928,0.2973,0.33125
A,6.0754e+18,24.581,0.12174,0.17265,0.68893
A,7.4149e+18,11.975,0.10093,0.14137,0.77894
A,5.5409e+19,0.97007,0.043959,0.23105,0.51308
A,1.6695e+19,6.0733,0.43341,0.17997,0.66708
A,1.1543e+19,7.8037,0.062345,0.24358,0.47633
A,1.2095e+19,6.2346,0.18847,0.22039,0.54489
A,1.3893e+19,7.0065,0.39295,0.23255,0.50866
A,1.3459e+19,5.6893,0.14813,0.2597,0.43039
A,5.2401e+18,23.618,0.046612,0.286,0.3597
A,1.1276e+19,7.3008,0.29646,0.18094,0.66416
A,2.4879e+19,3.5405,0.75773,0.23875,0.49041
A,3.9146e+19,1.6974,0.074313,0.23815,0.49215
A,1.0344e+19,13.192,0.32423,0.17053,0.69523
A,4.0216e+18,24.509,0.12757,0.28812,0.35428
A,1.9622e+19,5.1802,0.098024,0.16333,0.71643
A,2.0627e+19,9.2009,0.93059,0.19004,0.63671
A,1.5437e+19,5.5701,0.33365,0.092746,0.89806
A,2.1181e+19,4.2224,0.18922,0.20973,0.57705
A,1.1482e+19,11.704,0.71743,0.1726,0.6891
A,7.8871e+18,12.348,0.10368,0.21229,0.56932
A,1.2817e+19,9.3543,0.17075,0.23899,0.4897
A,4.6118e+18,34.744,0.13925,0.30517,0.31221
A,1.0824e+19,8.3923,0.016619,0.29648,0.33328
A,1.5835e+19,8.2738,0.39572,0.22457,0.53238
A,1.7867e+19,7.268,0.2714,0.2948,0.33745
A,1.7744e+19,8.3778,0.23403,0.22458,0.53237
A,1.8487e+19,3.7978,0.16072,0.3084,0.30455
A,1.3331e+19,8.1472,0.54702,0.29692,0.33219
A,1.3242e+19,9.3139,0.24967,0.25702,0.4379
A,7.0109e+18,17.601,0.36887,0.17958,0.66825
A,1.8119e+19,10.586,0.50821,0.13362,0.79998
A,2.4403e+19,4.4897,0.52308,0.238,0.4926
A,8.3172e+18,9.9493,0.16207,0.17158,0.69211
A,1.49e+19,9.6956,0.24275,0.1505,0.75341
A,1.2631e+19,8.1902,0.31709,0.13078,0.80752
A,2.3785e+19,7.0187,0.44045,0.2568,0.43852
A,4.5413e+18,10.428,0.034506,0.30074,0.32286
A,5.3545e+18,17.263,0.090927,0.26257,0.42241
A,1.8342e+19,5.9329,0.29098,0.24099,0.48387
A,1.3427e+19,16.543,1.4054,0.27528,0.38781
A,2.6662e+19,3.8166,0.2721,0.29636,0.33357
A,9.0856e+18,7.7656,0.073504,0.13807,0.78798
A,1.1005e+19,9.3989,0.093869,0.2457,0.4702
A,1.449e+19,7.5539,0.79422,0.25097,0.45506
A,2.1039e+19,3.197,0.12168,0.24006,0.48657
A,1.3574e+19,4.2762,0.043355,0.30961,0.30173
A,1.5295e+19,4.8977,0.55505,0.14022,0.7821
A,1.3617e+19,5.2309,0.41192,0.26855,0.40595
A,2.692e+19,4.4938,0.35476,0.10476,0.87182
A,3.4639e+19,2.0178,0.26432,0.25887,0.43272
A,4.1556e+18,31.333,0.046825,0.22094,0.54324
A,1.2347e+19,9.3583,0.19657,0.22682,0.52567
A,8.17e+18,11.43,0.081613,0.20353,0.59583
A,6.6094e+18,37.245,0.46213,0.18455,0.6533
A,5.6944e+18,21.458,0.14462,0.22928,0.51836
A,1.49e+19,7.2217,0.17369,0.24208,0.4807
A,1.3971e+19,8.3871,0.48695,0.29949,0.3259
A,1.1802e+19,7.8081,0.40599,0.27501,0.38853
A,1.4497e+19,5.7824,0.21694,0.18594,0.64911
A,1.0278e+19,13.832,0.19629,0.26246,0.42271
A,7.9907e+18,6.8452,0.044942,0.21173,0.571
A,8.7262e+18,8.5909,0.13822,0.10674,0.86726
A,1.5564e+19,9.3331,0.53219,0.29051,0.3482
A,8.1954e+18,17.148,0.059306,0.26138,0.42571
A,7.2374e+18,31.772,0.44272,0.26058,0.42793
A,8.7081e+18,5.9769,0.090367,0.23155,0.51162
A,1.8054e+19,6.92,0.55945,0.26689,0.4105
A,1.3634e+19,19.527,0.60216,0.2505,0.45641
A,3.3079e+19,2.3872,0.053569,0.25551,0.44217
A,6.2447e+18,25.687,0.05581,0.30361,0.31594
A,1.9446e+19,12.153,0.96796,0.25993,0.42975
A,1.2161e+19,8.62,0.2095,0.30178,0.32034
A,9.5759e+18,10.818,0.063845,0.28304,0.36738
A,7.1379e+18,11.919,0.30089,0.26102,0.42671
A,1.2152e+19,9.4184,0.19556,0.22569,0.52903
A,1.8216e+19,3.9649,0.23808,0.28999,0.34952
A,1.4927e+19,4.8241,0.048126,0.23672,0.49635
A,1.6538e+19,6.5227,0.26359,0.22889,0.51951
A,1.3207e+19,5.8168,0.16209,0.1735,0.68641
A,1.3453e+19,4.2643,0.00067411,0.28671,0.3579
A,1.0229e+19,10.857,0.19704,0.27808,0.38036
A,3.9994e+19,2.3491,0.066525,0.25414,0.44606
A,5.5642e+19,1.0356,0.047508,0.20261,0.59861
A,1.2393e+19,6.3293,0.35975,0.21937,0.54797
A,6.4926e+18,12.313,0.17565,0.19458,0.62295
A,1.5109e+19,5.4797,0.08296,0.26845,0.40623
A,7.6195e+18,8.9893,0.088302,0.29495,0.33707
A,1.5944e+19,4.1459,0.073367,0.14707,0.76309
A,1.2263e+19,6.8227,0.35321,0.16792,0.70296
A,1.3098e+19,6.1798,0.10421,0.23252,0.50873
A,1.5391e+19,7.5892,0.24747,0.21328,0.56631
A,8.087e+18,16.94,0.13055,0.16055,0.72455
A,1.6777e+19,4.6688,0.12103,0.091097,0.90147
A,1.8893e+19,2.7307,0.041585,0.24563,0.4704
A,1.183e+19,5.5542,0.024953,0.29781,0.33001
A,6.2047e+18,19.834,0.073992,0.19105,0.63364
A,3.9164e+18,17.169,0.082281,0.27841,0.37951
A,2.8727e+19,2.309,0.071969,0.13296,0.80174
A,2.9857e+19,2.1168,0.26917,0.26063,0.4278
A,1.4488e+19,10.15,0.70777,0.20719,0.58473
A,1.0147e+19,13.938,0.23045,0.1358,0.79413
A,1.7694e+19,11.012,0.83056,0.18069,0.66491
A,8.6266e+18,8.195,0.068231,0.20721,0.58469
A,6.7747e+18,17.395,0.13289,0.24267,0.47897
A,1.5648e+19,5.7531,0.29314,0.17758,0.67424
A,1.4543e+19,7.8044,0.4619,0.22892,0.51942
A,2.1582e+19,4.3611,0.17294,0.27312,0.3936
A,1.2513e+19,9.2929,0.26414,0.24633,0.46837
A,1.965e+19,8.4676,0.94841,0.12784,0.81522
A,2.2663e+19,3.6894,0.15967,0.19706,0.61545
A,2.6874e+19,1.8992,0.073148,0.25745,0.4367
