paper_id,human_mean,human_std,n_reviewers,decision,decision_numeric,accepted,claude_overall,claude_soundness,claude_presentation,claude_contribution,claude_confidence,claude_originality,claude_quality,claude_clarity,claude_significance,claude_decision,gpt4o_overall,gpt4o_soundness,gpt4o_presentation,gpt4o_contribution,gpt4o_confidence,gpt4o_originality,gpt4o_quality,gpt4o_clarity,gpt4o_significance,gpt4o_decision,claude_accepted,gpt4o_accepted
D1TYemnoRN,5.5,0.5773502691896257,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
CVfLvQq9gLo,7.333333333333333,1.1547005383792517,3,Accept (Poster),1,1,8,4,4,4,4,3,4,4.0,4,Accept,7,3,3,3,4,3,3,4,3,Accept,1,1
xRK8xgFuiu,4.2,1.6431676725154984,5,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,3,4,4,3,3,3,Accept,1,1
T_uSMSAlgoy,4.0,1.7320508075688772,3,Reject,0,0,6,3,3,3,4,3,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
SN2bkl9f69,5.333333333333333,0.5773502691896258,3,Reject,0,0,7,3,3,4,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
6ya8C6sCiD,5.2,1.3038404810405297,5,Reject,0,0,7,3,2,3,4,3,3,3.0,3,Accept,4,3,2,2,4,3,3,2,3,Reject,1,0
1gEb_H1DEqZ,4.0,1.1547005383792515,4,Reject,0,0,6,3,3,3,4,3,3,3.0,3,Reject,4,2,2,2,4,2,2,2,2,Reject,0,0
qyTBxTztIpQ,6.333333333333333,1.5275252316519465,3,Accept (Poster),1,1,7,3,4,3,4,3,3,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
hxitw01k_Ql,3.5,1.0,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
RftryyYyjiG,5.75,0.5,4,Accept (Poster),1,1,8,4,3,4,4,4,3,3.0,4,Accept,6,3,2,3,4,3,3,2,4,Accept,1,1
jNB6vfl_680,4.666666666666667,1.5275252316519465,3,Reject,0,0,7,4,4,4,4,3,4,4.0,4,Accept,5,3,3,3,4,2,3,4,3,Reject,1,0
Ih0iJBSy4eq,5.0,0.0,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
N0n_QyQ5lBF,8.0,0.0,3,Accept (Oral),3,1,6,3,3,3,4,4,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
HiHWMiLP035,4.0,1.1547005383792515,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
GQd7mXSPua,5.666666666666667,0.5773502691896258,3,Accept (Poster),1,1,8,3,3,3,4,3,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
vr39r4Rjt3z,6.4,1.51657508881031,5,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
EhYjZy6e1gJ,8.0,0.0,3,Accept (Oral),3,1,8,4,3,4,4,4,4,3.0,4,Accept,7,3,4,3,4,3,3,4,3,Accept,1,1
OCgCYv7KGZe,5.5,2.0816659994661326,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,5,2,2,3,4,3,2,2,3,Reject,1,0
LtKcMgGOeLt,7.0,1.4142135623730951,5,Accept (Spotlight),2,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
zz9hXVhf40,6.8,1.0954451150103321,5,Accept (Spotlight),2,1,8,4,4,4,4,3,4,4.0,4,Accept,7,3,3,3,4,3,3,3,4,Accept,1,1
bsycpMi00R1,6.0,0.0,4,Accept (Poster),1,1,6,4,3,4,4,4,4,3.0,3,Accept,7,3,3,3,4,4,3,4,3,Accept,1,1
WN2Sup7qLdw,4.4,1.3416407864998738,5,Reject,0,0,7,3,4,4,4,3,3,4.0,3,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
ExJ4lMbZcqa,5.75,2.0615528128088303,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,4,4,4,3,3,4,Accept,1,1
xtZXWpXVbiK,7.0,1.1547005383792515,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,2,3,4,4,3,2,4,Reject,1,0
-29uFS4FiDZ,5.0,1.224744871391589,5,Reject,0,0,7,3,4,3,4,4,3,4.0,4,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
TNxKD3z_tPZ,2.5,1.0,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
AS0dhAKIYA0,2.5,1.9148542155126762,4,Reject,0,0,5,2,2,2,4,3,2,2.0,2,Reject,3,2,2,2,4,3,2,2,2,Reject,0,0
qTHBE7E9iej,8.0,0.0,4,Accept (Spotlight),2,1,8,4,3,4,4,4,4,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
vEIVxSN8Xhx,4.5,1.0,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
BduNVoPyXBK,5.333333333333333,0.5773502691896258,3,Reject,0,0,7,3,4,3,4,3,3,4.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
AypVMhFfuc5,6.25,2.362907813126304,4,Reject,0,0,8,4,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
XWODe7ZLn8f,7.0,1.1547005383792515,4,Accept (Spotlight),2,1,7,4,4,4,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
Yr_1QZaRqmv,4.25,1.5,4,Reject,0,0,5,3,3,2,4,4,2,3.0,2,Reject,3,2,2,2,4,2,2,2,3,Reject,0,0
XVPqLyNxSyh,7.333333333333333,1.1547005383792517,3,Accept (Poster),1,1,6,3,3,3,4,3,3,3.0,4,Accept,5,2,2,2,4,2,2,2,2,Reject,1,0
8la28hZOwug,6.5,1.0,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
okmZ6-zU6Lz,5.0,1.7320508075688772,3,Reject,0,0,7,3,3,3,3,4,3,3.0,4,Accept,4,3,2,3,4,3,3,3,3,Reject,1,0
DrZXuTGg2A-,7.0,1.1547005383792515,4,Accept (Poster),1,1,7,4,3,4,4,4,4,3.0,4,Accept,5,3,3,3,4,4,3,3,4,Reject,1,0
EMxu-dzvJk,6.4,0.8944271909999159,5,Accept (Poster),1,1,8,3,3,3,4,4,3,3.0,4,Accept,6,3,3,4,4,3,3,3,4,Accept,1,1
DIjCrlsu6Z,7.333333333333333,1.1547005383792517,3,Accept (Spotlight),2,1,8,3,3,4,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
89W18gW0-6o,5.5,0.5773502691896257,4,Reject,0,0,8,4,3,4,4,3,4,4.0,4,Accept,8,3,3,3,4,4,4,3,3,Accept,1,1
Z0XiFAb_WDr,5.0,0.0,3,Reject,0,0,6,3,3,3,4,4,3,3.0,4,Accept,4,2,2,3,4,3,3,2,3,Reject,1,0
PilZY3omXV2,6.25,1.2583057392117916,4,Accept (Poster),1,1,7,3,3,4,4,4,3,3.0,4,Accept,7,3,3,3,4,4,3,3,4,Accept,1,1
lkQ7meEa-qv,4.25,1.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
kj0_45Y4r9i,6.25,1.2583057392117916,4,Accept (Poster),1,1,6,3,3,3,4,3,3,3.0,3,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
-3yxxvDis3L,4.75,1.2583057392117916,4,Reject,0,0,7,4,3,3,4,3,4,3.0,4,Accept,4,3,2,2,4,2,3,2,3,Reject,1,0
BkIV7EOXkSs,5.75,0.5,4,Reject,0,0,7,4,3,4,4,4,4,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
yhCp5RcZD7,6.75,2.217355782608345,4,Accept (Poster),1,1,8,4,3,3,4,4,4,4.0,3,Accept,4,3,3,3,4,4,3,3,3,Reject,1,0
AkJyAE46GA,4.75,2.362907813126304,4,Reject,0,0,7,3,4,3,4,3,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
mfwdY3U_9ea,6.25,1.2583057392117916,4,Accept (Poster),1,1,7,3,3,3,4,3,3,3.0,3,Accept,6,3,2,3,4,4,3,2,3,Reject,1,0
6hTObFz_nB,5.75,1.5,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
0d1mLPC2q2,3.6666666666666665,1.1547005383792515,3,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,6,3,3,3,4,4,3,3,4,Accept,1,1
e-IkMkna5uJ,5.5,2.886751345948129,4,Reject,0,0,7,3,4,3,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
Zk3TwMJNj7,4.333333333333333,1.1547005383792517,3,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,5,3,2,3,4,2,3,2,3,Reject,1,0
rrWeE9ZDw_,6.333333333333333,1.5275252316519465,3,Accept (Poster),1,1,7,3,3,4,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
DIsWHvtU7lF,5.25,1.5,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,4,3,3,3,4,4,3,3,3,Reject,1,0
Ivku4TZgEly,5.0,0.0,3,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
rdBuE6EigGl,3.6666666666666665,1.1547005383792515,3,Reject,0,0,7,3,4,3,4,3,4,4.0,3,Accept,4,3,2,3,4,2,3,3,3,Reject,1,0
q2ZaVU6bEsT,3.0,0.0,3,Reject,0,0,6,3,2,3,4,3,3,2.0,3,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
V7eSbSAz-O8,1.6666666666666667,1.1547005383792517,3,Reject,0,0,5,3,2,3,4,3,2,2.0,3,Reject,4,2,2,2,4,3,2,2,3,Reject,0,0
GlN8MUkciwi,5.5,0.5773502691896257,4,Reject,0,0,7,4,4,4,4,4,4,4.0,4,Accept,4,2,2,2,4,3,2,2,2,Reject,1,0
1-YP2squpa7,5.5,2.0816659994661326,4,Reject,0,0,7,3,3,3,4,4,3,4.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
hfU7Ka5cfrC,7.5,1.0,4,Accept (Spotlight),2,1,7,3,3,3,4,3,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
dLTXoSIcrik,5.5,0.5773502691896257,4,Reject,0,0,7,3,4,4,4,4,3,4.0,4,Accept,4,3,3,3,4,3,3,3,3,Reject,1,0
-dzXGe2FyW6,5.0,2.449489742783178,4,Reject,0,0,7,3,3,4,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
m8uJvVgwRci,7.5,1.0,4,Accept (Poster),1,1,8,3,4,4,4,4,3,4.0,3,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
ckZY7DGa7FQ,6.75,2.5,4,Accept (Poster),1,1,8,3,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,4,Reject,1,0
e6MWIbNeW1,4.666666666666667,1.3662601021279464,6,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
QNW1OrjynpT,5.0,1.224744871391589,5,Reject,0,0,7,3,4,3,4,3,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
R332S76RjxS,6.25,2.362907813126304,4,Accept (Poster),1,1,7,4,3,3,4,3,4,3.0,3,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
V3C8p78sDa,7.5,1.0,4,Accept (Spotlight),2,1,8,4,3,4,4,4,4,4.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
EVqFdCB5PfV,4.5,1.0,4,Reject,0,0,7,3,3,3,4,3,4,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
3ILxkQ7yElm,5.0,3.605551275463989,3,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,6,3,2,3,4,4,3,2,4,Reject,1,0
ccWaPGl9Hq,8.0,0.0,4,Accept (Spotlight),2,1,8,4,3,4,4,4,4,4.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
BlyXYc4wF2-,5.0,0.0,3,Reject,0,0,8,3,3,3,4,3,3,3.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
Dup_dDqkZC5,7.5,1.0,4,Accept (Spotlight),2,1,7,4,3,4,4,3,3,4.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
x4tkHYGpTdq,4.2,1.0954451150103321,5,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
Rupm2vTg1pe,5.75,1.5,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
RB_2cor6d-w,4.6,1.51657508881031,5,Reject,0,0,7,3,3,3,3,3,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
0uZu36la_y4,4.5,1.7320508075688772,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,7,3,3,3,4,3,3,3,3,Accept,1,1
AAeMQz0x4nA,4.25,1.5,4,Reject,0,0,7,3,3,3,4,3,3,4.0,3,Accept,7,4,3,4,4,4,4,3,4,Reject,1,0
PGGjnBiQ84G,5.5,0.5773502691896257,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,5,3,2,3,4,4,3,2,3,Reject,1,0
xDIvIqQ3DXD,7.333333333333333,1.1547005383792517,3,Accept (Spotlight),2,1,7,4,3,3,4,4,4,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
NrB52z3eOTY,4.75,1.2583057392117916,4,Reject,0,0,8,4,4,4,4,4,4,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
rMbLORc8oS,4.25,1.5,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
U-_89RnR8F,5.75,0.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
Qu_XudmGajz,5.0,1.4142135623730951,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
GrFix2vWsh4,5.0,1.4142135623730951,4,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
pzgENfIRBil,5.75,1.5,4,Reject,0,0,7,3,3,4,4,4,3,4.0,4,Accept,4,2,2,3,4,4,2,2,3,Reject,1,0
Mlwe37htstv,5.25,1.5,4,Reject,0,0,7,3,3,4,4,4,3,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
nKWjE4QF1hB,6.5,1.7320508075688772,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,5,2,2,3,4,3,2,2,3,Reject,1,0
H4EXaI6HR2,2.3333333333333335,1.1547005383792515,3,Reject,0,0,7,3,2,3,4,3,3,3.0,3,Accept,3,2,2,2,4,3,2,2,3,Reject,1,0
WQVouCWioh,3.8,1.0954451150103321,5,Reject,0,0,7,3,4,4,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
SgEhFeRyzEZ,5.75,1.5,4,Reject,0,0,7,4,3,3,4,3,4,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
WcZUevpX3H3,4.5,1.0,4,Reject,0,0,6,3,3,3,4,4,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
eSHBmLnD1s8,5.25,2.0615528128088303,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
1JN7MepVDFv,5.5,0.5773502691896257,4,Reject,0,0,4,3,3,2,4,3,3,3.0,3,Reject,4,2,2,2,4,3,2,2,2,Reject,0,0
8rR8bIZnzMA,4.75,1.2583057392117916,4,Reject,0,0,8,4,3,4,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
sOK-zS6WHB,7.2,1.0954451150103321,5,Accept (Spotlight),2,1,8,4,3,4,4,4,4,4.0,4,Accept,8,4,4,4,4,4,4,4,4,Accept,1,1
7YDLgf9_zgm,7.25,1.5,4,Accept (Spotlight),2,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
WqoBaaPHS-,6.0,1.4142135623730951,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,7,3,3,4,4,4,3,3,4,Reject,1,0
v-v1cpNNK_v,6.5,1.0,4,Accept (Poster),1,1,8,3,3,4,4,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
rq1-7_lwisw,5.0,1.4142135623730951,4,Reject,0,0,6,3,3,3,4,3,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
HMJdXzbWKH,6.75,1.5,4,Accept (Poster),1,1,8,4,4,4,4,4,4,4.0,4,Accept,5,3,2,3,4,4,3,2,3,Reject,1,0
aPOpXlnV1T,6.0,0.0,3,Accept (Poster),1,1,7,4,4,3,4,4,4,4.0,3,Accept,4,3,3,3,4,3,3,4,3,Reject,1,0
9Hrka5PA7LW,8.0,0.0,4,Accept (Oral),3,1,8,4,3,4,4,4,4,3.0,4,Accept,7,3,3,3,4,3,3,3,3,Accept,1,1
b30Yre8MzuN,5.5,0.5773502691896257,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,6,3,3,3,4,4,3,3,3,Accept,1,1
NH29920YEmj,7.0,1.1547005383792515,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,6,3,2,3,4,3,3,2,3,Accept,1,1
MqEcDNQwOSA,3.0,0.0,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
A05I5IvrdL-,7.0,1.1547005383792515,4,Accept (Poster),1,1,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,3,4,4,3,3,3,Accept,1,1
h-z_zqT2yJU,5.75,0.5,4,Reject,0,0,8,3,3,4,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
Ctjb37IOldV,5.0,0.0,4,Reject,0,0,6,3,3,3,4,4,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
dEwfxt14bca,7.0,1.1547005383792515,4,Accept (Spotlight),2,1,7,3,3,3,4,3,3,3.0,3,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
XHUxf5aRB3s,6.5,1.0,4,Accept (Poster),1,1,8,3,3,3,4,4,3,3.0,4,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
pgkwZxLW8b,4.25,2.5,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
s51gCxF70pq,4.4,1.3416407864998738,5,Reject,0,0,8,4,3,4,4,3,4,4.0,4,Accept,7,3,3,4,4,3,3,3,4,Accept,1,1
Rx9luEzcSoy,6.5,1.0,4,Reject,0,0,7,3,3,3,4,4,3,4.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
ab7lBP7Fb60,4.25,1.5,4,Reject,0,0,7,3,4,3,4,4,3,4.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
KeBPcg5E3X,5.75,1.5,4,Reject,0,0,7,3,2,2,4,3,3,2.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
neqU3HWDgE,6.25,2.362907813126304,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,7,3,3,3,4,4,2,3,4,Accept,1,1
DYaFB19z1ig,5.0,0.0,4,Reject,0,0,7,3,3,4,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
8in_5gN9I0,6.666666666666667,1.1547005383792517,3,Accept (Poster),1,1,8,4,3,4,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,4,Accept,1,1
u6sUACr7feW,4.333333333333333,1.1547005383792517,3,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
e8JI3SBZKa4,6.25,1.2583057392117916,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,4,2,2,2,4,3,2,2,2,Reject,1,0
inSTvgLk2YP,4.75,1.2583057392117916,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,4,Reject,1,0
0lSoIruExF,2.6,1.6733200530681511,5,Reject,0,0,6,3,3,3,4,3,3,3.0,3,Accept,3,2,2,2,4,2,2,2,2,Reject,1,0
4lLyoISm9M,4.75,1.2583057392117916,4,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,6,3,2,3,4,4,3,2,3,Accept,1,1
g4nVdxU9RK,3.75,1.5,4,Reject,0,0,5,2,3,2,4,4,2,3.0,2,Reject,4,2,2,2,4,3,2,2,3,Reject,0,0
6PlIkYUK9As,4.0,1.1547005383792515,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
EFSctTwY4xn,4.666666666666667,1.5275252316519465,3,Reject,0,0,7,3,2,3,4,3,3,2.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
5o7lEUYRvM,5.0,1.4142135623730951,4,Reject,0,0,7,3,3,4,4,4,3,3.0,3,Accept,6,3,3,3,4,4,3,3,4,Reject,1,0
i2baoZMYZ3,5.25,0.5,4,Reject,0,0,7,3,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
hjlXybdILM3,5.5,0.5773502691896257,4,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,4,3,3,3,4,3,3,3,3,Reject,1,0
pWBNOgdeURp,6.0,0.0,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,4,2,2,2,4,3,2,2,2,Reject,1,0
iLHOIDsPv1P,7.5,1.9148542155126762,4,Accept (Spotlight),2,1,7,3,3,3,4,4,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
0q0REJNgtg,5.5,0.5773502691896257,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
kQ2SOflIOVC,6.6,1.3416407864998738,5,Accept (Poster),1,1,7,3,3,3,4,3,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
gCmCiclZV6Q,3.0,0.0,3,Reject,0,0,7,3,4,4,4,4,3,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
xS8AMYiEav3,6.75,1.5,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.5,4,Accept,7,4,3,3,4,4,4,3,4,Accept,1,1
OqHtVOo-zy,4.75,2.362907813126304,4,Reject,0,0,7,3,3,4,4,4,3,4.0,4,Accept,7,4,3,4,4,4,4,3,4,Accept,1,1
oTQNAU_g_AZ,4.75,1.2583057392117916,4,Reject,0,0,7,4,4,4,4,4,4,4.0,4,Accept,7,3,3,3,4,3,3,3,4,Accept,1,1
KSSfF5lMIAg,5.25,0.5,4,Accept (Poster),1,1,7,3,4,4,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
on54StZqGQ_,5.75,0.5,4,Reject,0,0,7,4,3,4,4,4,3,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
R3zqNwzAVsC,5.0,0.0,4,Reject,0,0,6,3,3,3,4,4,3,3.0,3,Accept,3,2,2,2,4,2,2,2,2,Reject,1,0
BGvt0ghNgA,6.5,1.0,4,Accept (Poster),1,1,8,4,4,4,4,4,4,4.0,4,Accept,7,3,3,3,4,4,3,3,3,Accept,1,1
1XdUvpaTNlM,4.75,1.2583057392117916,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
cpstx0xuvRY,5.25,0.5,4,Reject,0,0,6,3,3,3,4,3,3,3.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
Wm3EA5OlHsG,6.75,1.5,4,Accept (Poster),1,1,7,3,3,4,4,3,3,4.0,4,Accept,7,3,3,4,4,4,3,3,4,Accept,1,1
-uZp67PZ7p,5.5,0.5773502691896257,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
vgqS1vkkCbE,6.0,0.0,4,Accept (Poster),1,1,7,3,4,3,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
2DJn3E7lXu,5.75,0.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
aBAgwom5pTn,4.6,1.51657508881031,5,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
SsPCtEY6yCl,7.0,1.1547005383792515,4,Accept (Spotlight),2,1,7,4,2,3,4,4,4,3.0,3,Accept,8,4,4,4,4,4,4,4,4,Accept,1,1
RxplU3vmBx,6.666666666666667,1.1547005383792517,3,Accept (Spotlight),2,1,7,3,3,4,4,4,3,3.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
PgNEYaIc81Q,5.0,1.4142135623730951,4,Accept (Poster),1,1,7,4,4,4,4,4,3,4.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
qI4542Y2s1D,6.0,0.0,4,Accept (Poster),1,1,8,4,4,4,4,4,4,3.0,4,Accept,7,4,3,4,4,4,4,3,4,Reject,1,0
uy602F8cTrh,4.0,1.1547005383792515,4,Reject,0,0,6,3,4,3,4,4,3,4.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
iaqgio-pOv,4.8,2.16794833886788,5,Reject,0,0,7,3,3,4,4,4,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
JmU7lyDxTpc,7.0,1.7320508075688772,3,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
ZC1s7bdR9bD,4.5,1.0,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,4,2,2,2,4,2,2,2,2,Reject,1,0
qnQN4yr6FJz,6.25,1.2583057392117916,4,Accept (Oral),3,1,7,3,3,3,4,3,3,4.0,4,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
HuaYQfggn5u,6.25,1.2583057392117916,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,7,3,3,3,4,3,3,3,4,Accept,1,1
YmONQIWli--,6.0,1.4142135623730951,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,7,3,3,3,4,3,3,3,4,Accept,1,1
4jUmjIoTz2,5.666666666666667,2.516611478423583,3,Reject,0,0,7,3,3,3,4,3,4,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
