genome_name,assembly_type,genome_size_mb,busco_complete_pct,completeness_pct,n_contigs,gc_pct,n50_kb,is_representative,taxonomy
T2202233848,SAG,54.31,83.6,87.1,7003,17.6,14.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
T2202233813,SAG,57.03,85.4,89.5,5297,17.6,24.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
D2012683A,SAG,9.9,50.8,58.4,3815,20.92,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
co-rumen_bin470,MAG,41.63,50.3,60.8,10703,17.88,4.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
co-rumen_bin2785,MAG,45.64,49.7,66.1,10475,17.48,5.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
co-rumen_bin357,MAG,36.9,39.2,52.7,12172,17.43,3.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
co-rumen_bin2196,MAG,42.99,46.8,60.8,10118,17.26,5.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
D2114767A,SAG,57.91,74.3,81.9,19819,18.71,3.6,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG8
T2202233863,SAG,57.16,87.7,91.2,5707,16.98,21.7,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP150000366TR_L01_159,SAG,53.03,86.0,89.5,5067,17.18,20.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_26,SAG,58.7,86.0,88.9,6081,16.99,21.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
H38,SAG,48.48,79.5,84.2,3448,17.6,36.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_36,SAG,62.73,87.1,90,7728,19.59,20.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100001882BL_L01_567,SAG,54.17,86.6,90.7,4515,17.13,26.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
T2111217721,SAG,54.74,85.9,90.6,5714,17.09,18.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
D16,SAG,57.16,84.8,88.3,6823,17.27,16.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
D2114775A,SAG,48.18,86.0,89.5,12093,18.01,5.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
D2114770A,SAG,45.05,84.8,88.3,9084,18.1,7.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_65,SAG,62.9,86.5,88.8,7815,19.68,19.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP150000366TR_L01_176,SAG,59.33,86.5,90.6,7632,17.04,14.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_34,SAG,55.12,86.0,89.5,5014,17.2,24.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_72,SAG,73.31,88.9,91.8,14602,18.32,15.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
D13,SAG,51.41,86.6,89.5,4735,17.31,22.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
D2114740A,SAG,53.17,85.4,89.5,9583,17.67,8.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
SRR16953737,SAG,39.08,82.5,86.6,11040,18.64,4.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
cell-24D-1,SAG,45.23,82.4,86.5,3205,17.47,32.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
D6,SAG,86.37,84.8,90.6,20825,18.08,6.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_69,SAG,62.35,87.1,90.6,7799,18.72,20.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
SRR16953782,SAG,43.01,85.4,87.7,5400,18.26,14.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-omasum_bin447,MAG,41.93,67.3,80.2,14797,18.22,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin2001,MAG,59.71,66.1,80.1,11491,16.99,7.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin750,MAG,56.33,66.1,76.6,9789,16.99,7.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin430,MAG,51.21,67.9,79.6,11616,17.29,5.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin879,MAG,44.06,54.9,66,10218,17.25,5.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin664,MAG,51.93,71.3,78.3,8160,17.21,9.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin884,MAG,22.43,39.2,52.7,9252,19.4,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin1414,MAG,47.9,53.2,64.9,10662,17.01,5.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin1668,MAG,51.79,67.3,77.8,9284,17.09,7.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin76,MAG,43.1,52.0,64.9,11174,17.01,4.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-reticulum_bin611,MAG,55.82,66.1,76,11276,16.92,6.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
co-rumen_bin1179,MAG,43.61,58.5,70.2,6722,17.08,8.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG9
FP100002877TR_L01_57,SAG,73.23,83.6,88.9,13643,18.13,9.4,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG10
D7,SAG,25.31,58.4,63.7,5097,19.13,8.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG10
co-rumen_bin475,MAG,54.51,67.3,79.6,15439,18.28,4.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG10
co-rumen_bin2640,MAG,51.53,66.7,76.6,15631,18.13,3.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG10
co-rumen_bin772,MAG,33.21,61.4,67.2,12564,23.15,2.7,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Unknown family 1;g__Unknown genus 1;s__Unknown genus 1 sp. RCG1
CVSG1_2_3_co,SAG,17.49,56.7,61.4,7352,20.71,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Blepharocorythidae;g__Charonina;s__Charonina ventriculi
2D13_S37,SAG,35.54,74.2,79.5,15137,20.33,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Blepharocorythidae;g__Charonina;s__Charonina ventriculi
JZ24057273,SAG,31.09,73.6,77.7,13561,29.29,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 2;s__Unknown genus 2 sp. RCG1
co-rumen_bin179,MAG,30.85,49.2,52.7,11680,23.64,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 2;s__Unknown genus 2 sp. RCG1
2D10_S36,SAG,54.69,80.7,85.4,22246,24.31,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 2;s__Unknown genus 2 sp. RCG1
2D9_S32,SAG,64.54,83.0,88.3,22605,23.43,3.4,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 2;s__Unknown genus 2 sp. RCG1
2D8_S12,SAG,64.21,80.7,85.4,22718,22.94,3.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 2;s__Unknown genus 2 sp. RCG1
2D4_S4237,SAG,57.83,78.4,84.2,21974,23.2,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 2;s__Unknown genus 2 sp. RCG1
SRR16953760,SAG,38.87,71.3,74.2,17578,22.69,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eremoplastron;s__Eremoplastron rostratum
JZ24006089,SAG,25.36,48.5,53.8,7883,32.22,4.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eremoplastron;s__Eremoplastron rostratum
SRR16953751,SAG,57.71,74.2,78.9,25341,22.14,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eremoplastron;s__Eremoplastron rostratum
FP150000367TR_L01_187,SAG,71.42,81.3,85.4,29410,20.81,2.7,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eremoplastron;s__Eremoplastron rostratum
SRR16953774,SAG,73.19,78.4,83.7,32376,21.4,2.4,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Metadinium;s__Metadinium minorum
co-rumen_bin23,MAG,46.49,60.9,66.7,20471,20.58,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eudiplodinium;s__Eudiplodinium maggii
Eud-9D,SAG,30.97,55.0,68.5,16249,25.23,1.9,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eudiplodinium;s__Eudiplodinium maggii
JZ24006093,SAG,22.94,53.2,63.7,10729,27.07,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eudiplodinium;s__Eudiplodinium maggii
Eud-8D,SAG,48.89,50.9,64.4,12948,32.77,9.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eudiplodinium;s__Eudiplodinium maggii
Eud-15,SAG,29.14,48.5,60.8,11017,31.92,3.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eudiplodinium;s__Eudiplodinium maggii
Eud-10D,SAG,31.82,52.0,64.3,13470,29.09,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Eudiplodinium;s__Eudiplodinium maggii
SRR16953747,SAG,72.87,74.3,81.3,34660,21.5,2.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
SRR16953789,SAG,87.46,75.4,78.9,37064,19.73,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
T2202233840,SAG,74.02,73.7,78.4,33050,20.01,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
JZ24006092,SAG,31.79,62.0,67.8,15071,26.49,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
SRR16953750,SAG,56.72,74.9,80.2,26682,23.18,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
T2202233837,SAG,80.3,76.6,81.3,35478,19.94,2.4,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
T2202233838,SAG,77.66,74.8,80.1,34521,19.94,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
D2114741A,SAG,52.98,74.2,80,26795,22.73,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium dentatum
SRR16953769,SAG,82.61,79.6,84.3,34917,19.74,2.6,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium flabellum
SRR16953748,SAG,34.0,70.2,76.6,17577,22.03,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium flabellum
co-rumen_bin90,MAG,166.32,42.7,51.5,74999,20.97,2.2,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diplodinium;s__Diplodinium sp. RCG1
co-reticulum_bin580,MAG,122.18,45.0,51.4,54534,19.85,2.2,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Unknown genus 3;s__Unknown genus 3 sp. RCG1
MDA03D7-9,SAG,46.08,68.4,79.5,23093,26.46,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
T2111217745,SAG,92.06,76.0,80.7,40729,20.1,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
SRR16953776,SAG,103.06,80.7,86.5,47348,21.09,2.3,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
T2202233811,SAG,75.14,74.3,78.4,34271,20.16,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
T2111217713,SAG,85.49,77.8,83.1,38549,20.09,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
SRR16953733,SAG,103.39,72.5,78.3,47807,20.5,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron triloricatum
co-abomasum_bin656,MAG,53.36,50.3,59.7,25083,21.61,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
2D11_S6,SAG,78.15,79.0,83.1,33463,20.55,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
FP150000366TR_L01_157,SAG,52.96,76.6,80.7,22268,20.24,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
2D2_S24,SAG,78.26,80.1,84.2,33535,20.41,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
T2111217720,SAG,69.33,80.2,84.3,29361,19.83,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
2D1_S38,SAG,78.14,78.3,82.4,33965,20.3,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
2D6_S21,SAG,72.64,82.5,84.8,31465,20.23,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
2D3_S8,SAG,79.62,83.0,87.1,33208,20.86,2.6,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
T2202233842,SAG,46.11,69.6,73.7,19779,20.47,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
co-rumen_bin2799,MAG,39.58,52.7,55.6,15607,21.33,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
co-rumen_bin480,MAG,13.21,45.6,50.3,4962,23.4,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
co-rumen_bin833,MAG,28.73,50.9,52.7,10290,21.35,2.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
co-rumen_bin332,MAG,43.51,50.2,53.7,16735,19.82,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Diploplastron;s__Diploplastron affine
T2202233845,SAG,86.31,80.7,85.4,36931,21.48,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
T2202233843,SAG,83.11,79.5,83,35633,21.51,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
T2202233844,SAG,84.03,80.1,84.8,35833,21.51,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
FP150000366TR_L01_163,SAG,88.48,79.6,84.9,37610,21.67,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
SRR16953739,SAG,74.27,83.0,87.7,34870,23.08,2.3,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
FP150000367TR_L01_179,SAG,90.2,79.5,82.4,38136,21.56,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
SRR16953746,SAG,31.58,51.5,60.9,13654,23.86,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
SRR16953740,SAG,26.14,53.8,60.2,12158,24.23,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium cattanei
SRR16953759,SAG,85.5,79.5,83,36819,22.75,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium caudatum
SRR16953754,SAG,76.07,77.8,81.9,32569,23.1,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium caudatum
JZ24057272,SAG,37.01,67.3,74.9,19746,25.86,1.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium caudatum
Epi-1121-5,SAG,39.95,69.0,73.7,16671,28.18,2.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
Epi-1121-1,SAG,46.18,70.8,77.2,18405,28.32,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
JZ24006094,SAG,42.1,62.0,70.2,21392,24.79,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
Epi-1121-4,SAG,51.68,73.7,79.5,25470,25,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
Epi-1121-3,SAG,45.87,69.6,78.4,23052,25.09,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
Epi-1121-2,SAG,46.24,65.5,70.8,23126,25.36,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
P4-1111,SAG,55.42,66.7,76.1,28664,25.64,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
P2-1111,SAG,88.71,77.8,84.8,41641,24.46,2.3,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
P5-1111,SAG,49.82,71.3,78.3,24956,25.97,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
P3-1111,SAG,51.75,69.0,78.4,26199,26.27,2.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
P1-1111,SAG,77.11,76.6,81.3,35366,25.6,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
P6-1111,SAG,43.28,57.9,69,21120,28.01,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
co-rumen_bin78,MAG,71.22,68.5,73.8,29229,22.88,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
JZ24006096,SAG,54.26,74.2,77.7,25022,25,2.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG1
co-rumen_bin184,MAG,51.86,46.2,53.2,23900,22.72,2.3,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Epidinium;s__Epidinium sp. RCG2
SRR16953779,SAG,62.92,73.7,77.2,29190,20.71,2.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
T2202233855,SAG,82.22,76.6,78.9,34969,19.2,2.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
SRR16953770,SAG,37.24,59.7,64.4,16744,20.14,2.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
D2114781A,SAG,44.28,65.0,70.3,21595,26.54,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Entodiniomorphida;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex purkynjei
