especie,familia
Taygetis thamyra,Nymphalidae
Taygetis tripunctata,Nymphalidae
Taygetis virgilia,Nymphalidae
Tegosa anieta,Nymphalidae
Tegosa orobia,Nymphalidae
Telemiades amphion,Hesperiidae
Telemiades epicalus,Hesperiidae
Telicota ancilla,Hesperiidae
Telicota colon,Hesperiidae
Texola elada,Nymphalidae
Thaeides theia,Lycaenidae
Thargella evansi,Hesperiidae
Theagenes dichrous,Hesperiidae
Thecla betulae,Lycaenidae
Theclinesthes miskini,Lycaenidae
Theclinesthes onycha,Lycaenidae
Theclinesthes serpentata,Lycaenidae
Theope thestias,Riodinidae
Thepytus thyrea,Lycaenidae
Thereus eryssus,Lycaenidae
Thereus ortalus,Lycaenidae
Theritas chaluma,Lycaenidae
Theritas deniva,Lycaenidae
Theritas hemon,Lycaenidae
Thespieus catochra,Hesperiidae
Thespieus lutetia,Hesperiidae
Thestius lycabas,Lycaenidae
Thiemeia phoronea,Nymphalidae
Thoressa gupta,Hesperiidae
Thoressa varia,Hesperiidae
Thoressa xiaoqingae,Hesperiidae
Thorybes pylades,Hesperiidae
Thracides phidon,Hesperiidae
Thymelicus acteon,Hesperiidae
Thymelicus hyrax,Hesperiidae
Thymelicus lineola,Hesperiidae
Thymelicus sylvestris,Hesperiidae
Thyridia psidii,Nymphalidae
Ticherra acte,Lycaenidae
Tirumala hamata,Nymphalidae
Tirumala limniace,Nymphalidae
Tirumala septentrionis,Nymphalidae
Tisias lesueur,Hesperiidae
Tisias quadrata,Hesperiidae
Tmolus cydrara,Lycaenidae
Tmolus echion,Lycaenidae
Tomares ballus,Lycaenidae
Tomares nesimachus,Lycaenidae
Tongeia filicaudis,Lycaenidae
Toxidia doubledayi,Hesperiidae
Trapezites eliena,Hesperiidae
Troides aeacus,Papilionidae
Troides rhadamantus,Papilionidae
Troides richmondia,Papilionidae
Turanana panaegides,Lycaenidae
Udara akasa,Lycaenidae
Udara camenae,Lycaenidae
Udara ceyx,Lycaenidae
Udara dilectus,Lycaenidae
Udaspes folus,Hesperiidae
Unkana ambasa,Hesperiidae
Uranothauma heritsia,Lycaenidae
Urbanus doryssus,Hesperiidae
Urbanus elmina,Hesperiidae
Urbanus pronta,Hesperiidae
Urbanus simplicius,Hesperiidae
Urbanus teleus,Hesperiidae
Urbanus zagorus,Hesperiidae
Vacerra bonfilius,Hesperiidae
Vacerra caniola,Hesperiidae
Vagrans egista,Nymphalidae
Vanessa atalanta,Nymphalidae
Vanessa braziliensis,Nymphalidae
Vanessa cardui,Nymphalidae
Vanessa carye,Nymphalidae
Vanessa dejeanii,Nymphalidae
Vanessa indica,Nymphalidae
Vanessa virginiensis,Nymphalidae
Vehilius celeus,Hesperiidae
Vehilius inca,Hesperiidae
Vettius diana,Hesperiidae
Vettius fuldai,Hesperiidae
Vettius lucretius,Hesperiidae
Vettius marcus,Hesperiidae
Vettius phyllus,Hesperiidae
Vettius tertianus,Hesperiidae
Vidius mictra,Hesperiidae
Vidius nappa,Hesperiidae
Vidius similis,Hesperiidae
Vidius vidius,Hesperiidae
Vinius letis,Hesperiidae
Viola alicus,Hesperiidae
Virga clenchi,Hesperiidae
Virga riparia,Hesperiidae
Wallengrenia egeremet,Hesperiidae
Xeniades chalestra,Hesperiidae
Xeniades orchamus,Hesperiidae
Xeniades victoria,Hesperiidae
Yoma sabina,Nymphalidae
Yphthimoides affinis,Nymphalidae
Yphthimoides blanquita,Nymphalidae
Yphthimoides celmis,Nymphalidae
Yphthimoides maepius,Nymphalidae
Yphthimoides ochracea,Nymphalidae
Yphthimoides ordinaria,Nymphalidae
Yphthimoides renata,Nymphalidae
Yphthimoides viviana,Nymphalidae
Ypthima conjuncta,Nymphalidae
Ypthima multistriata,Nymphalidae
Ypthima newara,Nymphalidae
Ypthima nikaea,Nymphalidae
Ypthima pandocus,Nymphalidae
Ypthimomorpha itonia,Nymphalidae
Yramea inca,Nymphalidae
Zabuella argiella,Riodinidae
Zaretis ellops,Nymphalidae
Zegris eupheme,Pieridae
Zemeros flegyas,Riodinidae
Zera hyacinthinus,Hesperiidae
Zerene cesonia,Pieridae
Zerynthia cerisyi,Papilionidae
Zerynthia polyxena,Papilionidae
Zerynthia rumina,Papilionidae
Zizeeria karsandra,Lycaenidae
Zizeeria knysna,Lycaenidae
Zizina otis,Lycaenidae
Zizula hylax,Lycaenidae
Zographetus ogygia,Hesperiidae
Zonia zonia,Hesperiidae
Zopyrion evenor,Hesperiidae
