Taxon,Taxon2,Kingdom,Metric,Legacy,Relative_recovery_30,Relative_recovery_30_upper_confidence_interval,Relative_recovery_30_lower_confidence_interval,Resistance,Resistance_upper_confidence_interval,Resistance_lower_confidence_interval,Lambda,Lambda_upper_confidence_interval,Lambda_lower_confidence_interval,Recoverytime,Recoverytime_upper_confidence_interval,Recoverytime_lower_confidence_interval,R2,Trophic,TrophicLevel,Dispersal
Ground mammals,Mammals,Animalia,alpha_q2,cacao,0.988,0.993,0.982,0.626,0.77,0.481,0.115,0.135,0.097,11.435,13.155,8.517,0.238,,,terrestrial
Ground mammals,Mammals,Animalia,alpha_q2,pasture,0.868,0.934,0.756,0.481,0.491,0.474,0.046,0.069,0.026,36.117,71.443,23.877,0.03,,,terrestrial
Ground mammals,Mammals,Animalia,braycurtis,cacao,0.788,0.85,0.724,0.3,0.417,0.182,0.04,0.056,0.025,48.81,70.693,37.234,0.078,,,terrestrial
Ground mammals,Mammals,Animalia,braycurtis,pasture,0.308,0.376,0.247,0.139,0.232,0.045,0.007,0.013,0.002,294.587,1167.792,175.96,-0.137,,,terrestrial
Seedlings,Trees,Plantae,Abundance,cacao,0.535,0.641,0.387,0.0,0.0,0.0,0.026,0.034,0.016,90.113,141.981,67.485,0.027,autotroph,1.0,aerial
Seedlings,Trees,Plantae,Abundance,pasture,0.581,0.644,0.503,0.0,0.0,0.0,0.029,0.035,0.023,79.464,98.935,66.978,0.47,autotroph,1.0,aerial
Seedlings,Trees,Plantae,alpha_q0,cacao,0.489,0.571,0.407,0.0,0.0,0.0,0.022,0.028,0.017,102.864,132.479,81.859,-0.116,autotroph,1.0,aerial
Seedlings,Trees,Plantae,alpha_q0,pasture,0.589,0.652,0.513,0.0,0.0,0.0,0.03,0.035,0.024,77.632,96.155,65.562,0.471,autotroph,1.0,aerial
Seedlings,Trees,Plantae,alpha_q1,cacao,0.503,0.575,0.447,0.0,0.0,0.0,0.023,0.029,0.02,98.881,117.146,80.813,-0.234,autotroph,1.0,aerial
Seedlings,Trees,Plantae,alpha_q1,pasture,0.67,0.733,0.564,0.0,0.0,0.0,0.037,0.044,0.028,62.276,83.212,52.343,0.413,autotroph,1.0,aerial
Seedlings,Trees,Plantae,alpha_q2,cacao,0.522,0.589,0.473,0.0,0.0,0.0,0.025,0.03,0.021,93.511,108.07,77.905,-0.291,autotroph,1.0,aerial
Seedlings,Trees,Plantae,alpha_q2,pasture,0.725,0.79,0.595,0.0,0.0,0.0,0.043,0.052,0.03,53.471,76.475,44.26,0.362,autotroph,1.0,aerial
Seedlings,Trees,Plantae,braycurtis,cacao,0.7,0.76,0.642,0.0,0.0,0.0,0.04,0.048,0.034,57.328,67.25,48.405,0.257,autotroph,1.0,aerial
Seedlings,Trees,Plantae,braycurtis,pasture,0.367,0.418,0.295,0.0,0.0,0.0,0.015,0.018,0.012,151.106,202.013,128.378,0.446,autotroph,1.0,aerial
Trees,Trees,Plantae,Abundance,cacao,1.0,1.0,0.999,0.121,0.127,0.114,0.301,0.378,0.213,7.214,10.234,5.782,0.761,autotroph,1.0,aerial
Trees,Trees,Plantae,Abundance,pasture,0.934,0.945,0.911,0.055,0.056,0.051,0.089,0.095,0.079,25.264,28.514,23.652,0.826,autotroph,1.0,aerial
Trees,Trees,Plantae,alpha_q0,cacao,0.761,0.774,0.743,0.092,0.108,0.077,0.044,0.046,0.042,49.609,52.422,47.575,0.762,autotroph,1.0,aerial
Trees,Trees,Plantae,alpha_q0,pasture,0.746,0.763,0.725,0.077,0.078,0.076,0.043,0.045,0.04,51.651,55.138,48.974,0.824,autotroph,1.0,aerial
Trees,Trees,Plantae,alpha_q1,cacao,0.703,0.73,0.673,0.127,0.16,0.094,0.036,0.039,0.033,60.251,66.235,55.445,0.606,autotroph,1.0,aerial
Trees,Trees,Plantae,alpha_q1,pasture,0.764,0.778,0.735,0.091,0.105,0.078,0.045,0.047,0.041,49.125,53.796,46.98,0.685,autotroph,1.0,aerial
Trees,Trees,Plantae,alpha_q2,cacao,0.808,0.834,0.721,0.173,0.197,0.148,0.049,0.053,0.037,43.425,57.498,39.534,0.463,autotroph,1.0,aerial
Trees,Trees,Plantae,alpha_q2,pasture,0.896,0.913,0.811,0.15,0.165,0.129,0.07,0.076,0.051,30.501,42.429,28.128,0.5,autotroph,1.0,aerial
Trees,Trees,Plantae,braycurtis,cacao,0.526,0.559,0.502,0.015,0.015,0.014,0.024,0.027,0.023,93.665,100.62,85.303,0.6,autotroph,1.0,aerial
Trees,Trees,Plantae,braycurtis,pasture,0.525,0.551,0.488,0.021,0.034,0.008,0.024,0.026,0.022,94.643,105.475,87.82,0.541,autotroph,1.0,aerial
